id,jlpt_level,word,reading,image_review,meaning,meaning_zh,meaning_zh_needs_review,meaning_zh_note,jmdict_pos,jmdict_glosses,image_status,image_score,image_type,visual_domain,image_query_en,image_query_ja,distractor_pool,classification_reason,source,meaning_zh_source,meaning_zh_review
n1_02249,N1,渡り鳥,わたりどり,,migratory bird;bird of passage,,,,noun (common) (futsuumeishi),migratory bird | bird of passage,direct_image,84,single_object_or_place,animal,migratory bird,渡り鳥,animal,concrete noun domain: animal,Tanos JLPT vocabulary,,
n1_03362,N1,雛,ひな,,young bird;chick;doll,,,,noun (common) (futsuumeishi),young bird | chick | fledgling | greenhorn | fledgeling,direct_image,84,single_object_or_place,animal,young bird,雛,animal,concrete noun domain: animal,Tanos JLPT vocabulary,,
n1_03461,N1,鼠,ねず,,1. mouse;rat; 2. dark gray;slate color,,,,noun (common) (futsuumeishi),mouse | rat | dark gray | slate gray,direct_image,84,single_object_or_place,animal,1. mouse,鼠,animal,concrete noun domain: animal,Tanos JLPT vocabulary,,
n1_00497,N1,人体,じんたい,,human body,,,,noun (common) (futsuumeishi),human body,direct_image,84,single_object_or_place,body_health,human body,人体,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_00572,N1,体付き,からだつき,,body build;figure,,,,noun (common) (futsuumeishi),body build | figure,direct_image,84,single_object_or_place,body_health,body build,体付き,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_01256,N1,天体,てんたい,,heavenly body,,,,noun (common) (futsuumeishi),heavenly body | celestial body | astronomical object,direct_image,84,single_object_or_place,body_health,heavenly body,天体,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_01898,N1,新人,しんじん,,new face;newcomer,,,,noun (common) (futsuumeishi),newcomer | new figure | new member | recruit | rookie,direct_image,84,single_object_or_place,body_health,new face,新人,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_02363,N1,物体,ぶったい,,body;object,,,,noun (common) (futsuumeishi),object | body | solid,direct_image,84,single_object_or_place,body_health,body,物体,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_02459,N1,病,やまい,,illness;disease,,,,noun (common) (futsuumeishi),illness | disease | bad habit | weakness | fault,direct_image,84,single_object_or_place,body_health,illness,病,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_02758,N1,肉体,にくたい,,the body;the flesh,,,,noun (common) (futsuumeishi),the body | the flesh | the outer man | one's physique,direct_image,84,single_object_or_place,body_health,body,肉体,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_03125,N1,身体,からだ,,the body,,,,noun (common) (futsuumeishi),body | torso | trunk | build | physique,direct_image,84,single_object_or_place,body_health,body,身体,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
