id,word,reading,meaning,meaningZh,image_type,visual_domain,image_query_en,review
n1_02249,渡り鳥,わたりどり,migratory bird;bird of passage,迁徙的鸟类,single_object_or_place,animal,migratory bird,
n1_03362,雛,ひな,young bird;chick;doll,雏鸟;玩偶,single_object_or_place,animal,young bird,
n1_03461,鼠,ねず,1. mouse;rat; 2. dark gray;slate color,老鼠;灰色,single_object_or_place,animal,1. mouse,
n1_00497,人体,じんたい,human body,人体,single_object_or_place,body_health,human body,
n1_00572,体付き,からだつき,body build;figure,体型,single_object_or_place,body_health,body build,
n1_01256,天体,てんたい,heavenly body,天体,single_object_or_place,body_health,heavenly body,
n1_01898,新人,しんじん,new face;newcomer,新人;新面孔,single_object_or_place,body_health,new face,
n1_02363,物体,ぶったい,body;object,物体,single_object_or_place,body_health,body,
n1_02459,病,やまい,illness;disease,疾病,single_object_or_place,body_health,illness,
n1_02758,肉体,にくたい,the body;the flesh,身体,single_object_or_place,body_health,body,
n1_03125,身体,からだ,the body,身体,single_object_or_place,body_health,body,
n1_03384,面,おも,face,脸,single_object_or_place,body_health,face,
n1_03395,頂,いただき,(top of) head;summit;spire,头顶,single_object_or_place,body_health,head,
n1_00195,ジャンパー,ジャンパー / ジャンパ / ジャンバー,jacket;jumper,夹克,single_object_or_place,clothing,jacket,
n1_00217,ソックス,ソックス,socks,袜子,single_object_or_place,clothing,socks,
n1_00311,ユニフォーム,ユニフォーム / ユニホーム,uniform,制服,single_object_or_place,clothing,uniform,
n1_00856,制服,せいふく,uniform,制服,single_object_or_place,clothing,uniform,
n1_02906,衣類,いるい,clothes;clothing;garments,衣物、服装,single_object_or_place,clothing,clothes,
n1_03135,軍服,ぐんぷく,military or naval uniform,军服,single_object_or_place,clothing,military or naval uniform,
n1_00313,ライス,ライス,rice,米饭,single_object_or_place,food_drink,rice,
n1_00455,主食,しゅしょく,staple food,主食,single_object_or_place,food_drink,staple food,
n1_00467,乳,ちち,milk;breast;loop,奶；乳房,single_object_or_place,food_drink,milk,
n1_01129,喫茶,きっさ,tea drinking;tea house,茶馆,single_object_or_place,food_drink,tea drinking,
n1_01327,定食,ていしょく,set meal;special (of the day),套餐；特餐,single_object_or_place,food_drink,set meal,
n1_02016,杯,さかずき,wine cups,酒杯,single_object_or_place,food_drink,wine cups,
n1_02349,熱湯,ねっとう,boiling water,沸水,single_object_or_place,food_drink,boiling water,
n1_02829,苗,なえ,rice seedling,秧苗,single_object_or_place,food_drink,rice seedling,
n1_02843,茶の湯,ちゃのゆ,tea ceremony,茶道,single_object_or_place,food_drink,tea ceremony,
n1_00374,三日月,みかずき,new moon;crescent moon,新月,single_object_or_place,nature_weather,new moon,
n1_00384,上空,じょうくう,sky;the skies;high-altitude sky;upper air,高空,single_object_or_place,nature_weather,sky,
n1_01089,吹奏,すいそう,playing wind instruments,吹奏,single_object_or_place,nature_weather,playing wind instruments,
n1_01420,山脈,さんみゃく,mountain range,山脉,single_object_or_place,nature_weather,mountain range,
n1_01463,年輪,ねんりん,annual tree ring,年轮,single_object_or_place,nature_weather,annual tree ring,
n1_01950,晴天,せいてん,fine weather,晴天,single_object_or_place,nature_weather,fine weather,
n1_02046,桐,きり,paulownia tree,桐,single_object_or_place,nature_weather,paulownia tree,
n1_02152,気象,きしょう,weather;climate,气象,single_object_or_place,nature_weather,weather,
n1_02160,水源,すいげん,source of river;fountainhead,水源,single_object_or_place,nature_weather,source of river,
n1_02223,海流,かいりゅう,ocean current,海流,single_object_or_place,nature_weather,ocean current,
n1_02312,焚火,たきび,(open) fire,篝火,single_object_or_place,nature_weather,fire,
n1_02827,花壇,かだん,flower bed,花坛,single_object_or_place,nature_weather,flower bed,
n1_02929,西日,にしび,westering sun,西斜阳,single_object_or_place,nature_weather,westering sun,
n1_03365,雨具,あまぐ,rain gear,雨衣,single_object_or_place,nature_weather,rain gear,
n1_03366,雨天,うてん,rainy weather,下雨天,single_object_or_place,nature_weather,rainy weather,
n1_00238,ティッシュペーパー,ティッシュペーパー / ティッシュ・ペーパー / ティシュペーパー,tissue paper,纸巾,single_object_or_place,object_tool,tissue paper,
n1_01511,張り紙,はりがみ,paper patch;paper backing;poster,海报,single_object_or_place,object_tool,paper patch,
n1_01887,文,ふみ,letter;writings,信,single_object_or_place,object_tool,letter,
n1_02127,残金,ざんきん,remaining money,余钱,single_object_or_place,object_tool,remaining money,
n1_02298,火燵,こたつ,table with heater;(orig) charcoal brazier in a floor well,暖桌,single_object_or_place,object_tool,table with heater,
n1_03070,貨幣,かへい,money;currency;coinage,货币,single_object_or_place,object_tool,money,
n1_00034,お祖母さん,おばあさん,grandmother;female senior-citizen,祖母,single_object_or_place,person_family,grandmother,
n1_00035,お祖父さん,おじいさん,grandfather;male senior-citizen,祖父,single_object_or_place,person_family,grandfather,
n1_00334,一人,いちにん,one person,一人,single_object_or_place,person_family,one person,
n1_00447,主任,しゅにん,person in charge;responsible official,主任,single_object_or_place,person_family,person in charge,
n1_00527,他人,あだびと,another person;unrelated person;outsider;stranger,他人,single_object_or_place,person_family,another person,
n1_00616,使用人,しようにん,employee;servant,仆人,single_object_or_place,person_family,employee,
n1_01273,女子,おなご,woman;girl,女子,single_object_or_place,person_family,woman,
