id,jlpt_level,word,reading,image_review,meaning,meaning_zh,meaning_zh_needs_review,meaning_zh_note,jmdict_pos,jmdict_glosses,image_status,image_score,image_type,visual_domain,image_query_en,image_query_ja,distractor_pool,classification_reason,source,meaning_zh_source,meaning_zh_review
n1_02445,N1,畜産,ちくさん,NO PICTURE,animal husbandry,,,,noun (common) (futsuumeishi),animal husbandry | livestock industry,direct_image,84,single_object_or_place,animal,animal husbandry,畜産,animal,concrete noun domain: animal,Tanos JLPT vocabulary,,
n1_00642,N1,保養,ほよう,NO PICTURE,health preservation;recuperation;recreation,,,,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,health preservation | recuperation | recreation,direct_image,84,single_object_or_place,body_health,health preservation,保養,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_00670,N1,健全,けんぜん,NO PICTURE,health;soundness;wholesome,,,,adjectival nouns or quasi-adjectives (keiyodoshi) | noun (common) (futsuumeishi),healthy | sound | wholesome,direct_image,84,single_object_or_place,body_health,health,健全,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_00671,N1,健在,けんざい,NO PICTURE,in good health;well,,,,adjectival nouns or quasi-adjectives (keiyodoshi) | noun (common) (futsuumeishi),in good health | alive and well | going strong,direct_image,84,single_object_or_place,body_health,in good health,健在,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_00727,N1,全快,ぜんかい,NO PICTURE,complete recovery of health,,,,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,complete recovery of health,direct_image,84,single_object_or_place,body_health,complete recovery of health,全快,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_01487,N1,建前,たてまえ,NO PICTURE,face;official stance;public position or attitude (as opposed to private thoughts),,,,noun (common) (futsuumeishi),face | official stance | public position or attitude (as opposed to private thoughts) | ceremony for the erection of the framework of a house,direct_image,84,single_object_or_place,body_health,face,建前,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_01708,N1,手元,てもと,NO PICTURE,on hand;at hand;at home,,,,adverb (fukushi) | noun (common) (futsuumeishi),at hand | on hand | nearby | close at hand | way of moving one's arms,direct_image,84,single_object_or_place,body_health,on hand,手元,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_02603,N1,穂,ほ,NO PICTURE,ear (of plant);head (of plant),,,,noun (common) (futsuumeishi),"ear (of a cereal plant) | head | spike | point (of a brush, spear, etc.) | tip",direct_image,84,single_object_or_place,body_health,ear,穂,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_02902,N1,衛生,えいせい,NO PICTURE,health;hygiene;sanitation;medical,,,,noun (common) (futsuumeishi),hygiene | sanitation | cleanliness | health | toilet,direct_image,84,single_object_or_place,body_health,health,衛生,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_03320,N1,閉口,へいこう,NO PICTURE,shut mouth,,,,noun or participle which takes the aux. verb suru | intransitive verb | noun (common) (futsuumeishi) | adjectival nouns or quasi-adjectives (keiyodoshi),to be stumped | to be at a loss | to be at one's wits' end | to be nonplussed | to be fed up,direct_image,84,single_object_or_place,body_health,shut mouth,閉口,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_03389,N1,面目,めんぼく,NO PICTURE,face;honour;reputation;prestige;dignity;credit,,,,noun (common) (futsuumeishi),face | honour | honor | reputation | prestige,direct_image,84,single_object_or_place,body_health,face,面目,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_03428,N1,首脳,しゅのう,NO PICTURE,head;brains,,,,noun (common) (futsuumeishi),head | leader | top | important part,direct_image,84,single_object_or_place,body_health,head,首脳,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_01458,N1,平方,へいほう,NO PICTURE,square (e.g. metre);square,,,,noun (common) (futsuumeishi),square (e.g. metre),direct_image,84,single_object_or_place,color_shape,square,平方,color_shape,concrete noun domain: color_shape,Tanos JLPT vocabulary,,
n1_03394,N1,音色,おんいろ,NO PICTURE,tone color;tone quality;timbre;synthesizer patch,,,,noun (common) (futsuumeishi),tone color | tone colour | tone quality | timbre,direct_image,84,single_object_or_place,color_shape,tone color,音色,color_shape,concrete noun domain: color_shape,Tanos JLPT vocabulary,,
n1_03459,N1,黒字,くろじ,NO PICTURE,balance (figure) in the black,,,,noun (common) (futsuumeishi),(being in) the black | surplus | black letter,direct_image,84,single_object_or_place,color_shape,balance  in the black,黒字,color_shape,concrete noun domain: color_shape,Tanos JLPT vocabulary,,
n1_02222,N1,海抜,かいばつ,NO PICTURE,height above sea level,,,,noun (common) (futsuumeishi),height above sea level,direct_image,84,single_object_or_place,nature_weather,height above sea level,海抜,nature_weather,concrete noun domain: nature_weather,Tanos JLPT vocabulary,,
n1_02224,N1,海路,うみじ,NO PICTURE,sea route,,,,noun (common) (futsuumeishi) | adverb (fukushi),sea route,direct_image,84,single_object_or_place,nature_weather,sea route,海路,nature_weather,concrete noun domain: nature_weather,Tanos JLPT vocabulary,,
