id,word,reading,meaning,image_type,visual_domain,image_query_en,review
n3_05705,兎,うさぎ,"rabbit,hare,cony",single_object_or_place,animal,rabbit,
n3_06732,虎,とら,tiger,single_object_or_place,animal,tiger,
n3_07054,馬,うま,"(1) horse,(2) promoted bishop (shogi)",single_object_or_place,animal,horse,
n3_07067,魚,うお,fish,single_object_or_place,animal,fish,
n3_07070,鼠,ねずみ,"(1) mouse,rat,(2) dark gray,slate color",single_object_or_place,animal,mouse,
n3_05315,お腹,おなか,stomach,single_object_or_place,body_health,stomach,
n3_05355,そっと,そっと / そうっと / そおっと,face of the earth,single_object_or_place,body_health,face of the earth,
n3_05533,一方,いっぽう,"(1) on the other hand,(2) meanwhile,(3) only,simple,in turn",single_object_or_place,body_health,on the other hand,
n3_05686,健康,けんこう,"health,sound,wholesome",single_object_or_place,body_health,health,
n3_06180,手品,てじな,"sleight of hand,conjuring trick,magic,juggling",single_object_or_place,body_health,sleight of hand,
n3_06626,笑顔,えがお,smiling face,single_object_or_place,body_health,smiling face,
n3_06698,胃,い,stomach,single_object_or_place,body_health,stomach,
n3_06877,身,み,"body,main part,oneself,sword",single_object_or_place,body_health,body,
n3_06878,身体,しんたい,the body,single_object_or_place,body_health,body,
n3_07016,面,めん,"face,mug,surface,facial features,mask,face guard,side or facet,corner,page",single_object_or_place,body_health,face,
n3_05484,ドレス,ドレス,dress,single_object_or_place,clothing,dress,
n3_05505,ベルト,ベルト,Belt for western clothes,single_object_or_place,clothing,Belt for western clothes,
n3_06740,衣服,いふく,clothes,single_object_or_place,clothing,clothes,
n3_05725,円,えん,"circle,money",single_object_or_place,color_shape,circle,
n3_06564,真っ赤,まっか,"deep red,flushed (of face)",single_object_or_place,color_shape,deep red,
n3_05464,スープ,スープ,(Western) soup,single_object_or_place,food_drink,soup,
n3_05498,ビール,ばくしゅ / ビール,beer,single_object_or_place,food_drink,beer,
n3_05517,ミルク,ミルク,milk,single_object_or_place,food_drink,milk,
n3_05527,ワイン,ワイン,wine,single_object_or_place,food_drink,wine,
n3_06393,水準,すいじゅん,"(1) water level,(2) level,standard",single_object_or_place,food_drink,water level,
n3_06516,生物,せいぶつ,raw food,single_object_or_place,food_drink,raw food,
n3_06520,田,た,rice field,single_object_or_place,food_drink,rice field,
n3_06728,茶,ちゃ,tea,single_object_or_place,food_drink,tea,
n3_07040,食事,しょくじ,meal,single_object_or_place,food_drink,meal,
n3_07043,食料,しょくりょう,food,single_object_or_place,food_drink,food,
n3_07045,食物,しょくもつ,"food,foodstuff",single_object_or_place,food_drink,food,
n3_05462,スター,スター / スタア,star,single_object_or_place,nature_weather,star,
n3_05949,天候,てんこう,weather,single_object_or_place,nature_weather,weather,
n3_05951,太陽,たいよう,"sun,solar",single_object_or_place,nature_weather,sun,
n3_06267,日,にち,"sun,sunshine,day",single_object_or_place,nature_weather,sun,
n3_06306,月,つき,"moon,month",single_object_or_place,nature_weather,moon,
n3_06329,松,まつ,"(1) pine tree,(2) highest (of a three-tier ranking system)",single_object_or_place,nature_weather,pine tree,
n3_06404,沖,おき,open sea,single_object_or_place,nature_weather,open sea,
n3_06427,消防,しょうぼう,"fire fighting,fire department",single_object_or_place,nature_weather,fire fighting,
n3_05442,グラス,グラス,"(1) glass,(2) grass",single_object_or_place,object_tool,glass,
n3_05448,コンピューター,コンピュータ / コンピューター,computer,single_object_or_place,object_tool,computer,
n3_05490,バッグ,バッグ / バック,"bag,bug",single_object_or_place,object_tool,bag,
n3_06087,弁当,べんとう,box lunch,single_object_or_place,object_tool,box lunch,
n3_06244,教科書,きょうかしょ,text book,single_object_or_place,object_tool,text book,
n3_06254,文字,もじ,"letter (of alphabet),character",single_object_or_place,object_tool,letter,
n3_06342,椅子,いす,chair,single_object_or_place,object_tool,chair,
n3_06358,機械,きかい,"machine,mechanism",single_object_or_place,object_tool,machine,
n3_06633,答案,とうあん,"examination paper,examination script",single_object_or_place,object_tool,examination paper,
n3_06741,表,ひょう,"table (e.g. Tab 1),chart,list",single_object_or_place,object_tool,table,
n3_06746,袋,ふくろ,"bag,sack",single_object_or_place,object_tool,bag,
n3_06968,金額,きんがく,amount of money,single_object_or_place,object_tool,amount of money,
n3_06977,鍵,かぎ,key,single_object_or_place,object_tool,key,
n3_05306,おじいさん,おじいさん,"grandfather,male senior-citizen",single_object_or_place,person_family,grandfather,
n3_05509,ボーイ,ボーイ,boy,single_object_or_place,person_family,boy,
n3_05606,人込み,ひとごみ,crowd of people,single_object_or_place,person_family,crowd of people,
n3_05616,他人,たにん,"another person,unrelated person,outsider,stranger",single_object_or_place,person_family,another person,
n3_05793,医師,いし,"doctor,physician",single_object_or_place,person_family,doctor,
n3_05816,友,とも,"friend,companion,pal",single_object_or_place,person_family,friend,
n3_05817,友人,ゆうじん,friend,single_object_or_place,person_family,friend,
n3_05941,大家,おおや,"rich family,distinguished family",single_object_or_place,person_family,rich family,
n3_05963,女子,じょし,"woman,girl",single_object_or_place,person_family,woman,
n3_05973,婦人,ふじん,"woman,female",single_object_or_place,person_family,woman,
n3_06242,教師,きょうし,teacher (classroom),single_object_or_place,person_family,teacher,
n3_06321,本人,ほんにん,the person himself,single_object_or_place,person_family,person himself,
n3_06382,母親,ははおや,mother,single_object_or_place,person_family,mother,
n3_06471,父親,ちちおや,father,single_object_or_place,person_family,father,
n3_06523,男の人,おとこのひと,man,single_object_or_place,person_family,man,
n3_06684,美人,びじん,beautiful person (woman),single_object_or_place,person_family,beautiful person,
n3_06692,者,もの,person,single_object_or_place,person_family,person,
n3_06772,親友,しんゆう,"close friend,buddy",single_object_or_place,person_family,close friend,
n3_06899,迷子,まいご,lost (stray) child,single_object_or_place,person_family,lost  child,
n3_06964,金持ち,かねもち,rich man,single_object_or_place,person_family,rich man,
n3_05432,オフィス,オフィス / オフイス,office,single_object_or_place,place_building,office,
n3_05530,一家,いっか,"a house,a home,a family,a household",single_object_or_place,place_building,house,
n3_05573,中学,ちゅうがく,"middle school,junior high school",single_object_or_place,place_building,middle school,
n3_05640,位置,いち,"place,situation,position,location",single_object_or_place,place_building,place,
n3_05708,入学,にゅうがく,"entry to school or university,matriculation",single_object_or_place,place_building,entry to school or university,
n3_05911,場,ば,"place,field (physics)",single_object_or_place,place_building,place,
n3_05924,外,ほか,"other place,the rest",single_object_or_place,place_building,other place,
n3_06037,居間,いま,living room (western style),single_object_or_place,place_building,living room,
n3_06042,岸,きし,"bank,coast,shore",single_object_or_place,place_building,bank,
n3_06047,工場,こうば,"factory,plant,mill,workshop",single_object_or_place,place_building,factory,
n3_06227,支店,してん,branch store (office),single_object_or_place,place_building,branch store,
n3_06912,通学,つうがく,commuting to school,single_object_or_place,place_building,commuting to school,
n3_06933,道路,どうろ,"road,highway",single_object_or_place,place_building,road,
n3_05434,カー,カー,car,single_object_or_place,transport,car,
n3_05685,停留所,ていりゅうじょ,bus or tram stop,single_object_or_place,transport,bus or tram stop,
n3_05750,列車,れっしゃ,train (ordinary),single_object_or_place,transport,train,
n3_06543,発車,はっしゃ,departure of a vehicle,single_object_or_place,transport,departure of a vehicle,
n3_06718,船,ふね,"ship,boat,watercraft,shipping,vessel,steamship",single_object_or_place,transport,ship,
n3_05385,どう,（接。副）,"child,servant,foolishness",single_object_or_place,person_family,child,
n3_05314,お目に掛かる,おめにかかる,to meet (someone of higher status) | to be recognized (esp. by someone of higher status) | to be visible,person_action_scene,action_state,person meeting,
n3_05339,しまう,（終わる）,"to finish,to close,to do something completely",person_action_scene,action_state,person finishing,
n3_05482,ドライブ,ドライブ,"drive,trip by car,driving",person_action_scene,action_state,person driving,
n3_05549,下さる,くださる,"(hon) to give,to confer",person_action_scene,action_state,person giving,
n3_05550,下す,おろす,"to lower,to let go down",person_action_scene,action_state,person lowerring,
n3_05563,与える,あたえる,"to give,to present,to award",person_action_scene,action_state,person giving,
n3_05583,乗せる,のせる,"to place on (something),to take on board,to give a ride",person_action_scene,action_state,person placing on,
n3_05636,伸びる,のびる,"to stretch,to extend,to make progress,to grow (beard, body height)",person_action_scene,action_state,person stretching,
n3_05637,伺う,うかがう,"(hon) to visit,to ask,to inquire",person_action_scene,action_state,person visitting,
n3_05679,倒す,たおす,"to throw down,to beat,to bring down,to blow down",person_action_scene,action_state,person throwwing down,
n3_05733,出会う,であう,"to meet by chance,to come across,to happen to encounter",person_action_scene,action_state,person meeting by chance,
n3_05746,切れる,きれる,"(1) to cut well,to be sharp,(2) to break (off)",person_action_scene,action_state,person cutting well,
n3_05747,刈る,かる,"to cut (hair),to mow (grass),to harvest",person_action_scene,action_state,person cutting,
n3_05763,割る,わる,"to divide,to cut,to break,to halve",person_action_scene,action_state,person dividing,
n3_05769,劣る,おとる,"to fall behind,to be inferior to",person_action_scene,action_state,person falling behind,
n3_05774,効く,きく,to be effective,person_action_scene,action_state,person being effective,
n3_05805,占める,しめる,"(1) to comprise,to account for,to make up (of),(2) to hold,to occupy",person_action_scene,action_state,person comprising,
n3_05811,去る,さる,"to leave,to go away",person_action_scene,action_state,person leaving,
n3_05815,及ぼす,およぼす,"to exert,to cause,to exercise",person_action_scene,action_state,person exerting,
n3_05821,収める,おさめる,"to obtain,to reap,to pay,to supply,to accept",person_action_scene,action_state,person obtaining,
n3_05824,取り上げる,とりあげる,"to take up,to pick up,to disqualify,to confiscate,to deprive",person_action_scene,action_state,person taking up,
n3_05825,取れる,とれる,"to come off,to be taken off,to be removed",person_action_scene,action_state,person coming off,
n3_05826,受け取る,うけとる,"to receive,to get,to accept,to take",person_action_scene,action_state,person receiving,
n3_05844,吐く,はく,"(1) to breathe,(2) to tell (lies),(3) to vomit,to disgorge",person_action_scene,action_state,person breathing,
n3_05846,向く,むく,to face,person_action_scene,action_state,person facing,
n3_05847,向ける,むける,"to turn towards,to point",person_action_scene,action_state,person turning towards,
n3_05851,含む,ふくむ,"to hold in the mouth,to bear in mind",person_action_scene,action_state,person holding in the mouth,
n3_05879,回す,まわす,"to turn,to revolve",person_action_scene,action_state,person turning,
