id,jlpt_level,word,reading,image_review,meaning,Sentence(eg),Sentence(zh),Sentence,meaning_zh,meaning_zh_needs_review,meaning_zh_note,jmdict_pos,jmdict_glosses,image_status,image_score,image_type,visual_domain,image_query_en,image_query_ja,distractor_pool,classification_reason,source,meaning_zh_source,meaning_zh_review,Sentence(zh)_needs_review,Sentence(zh)_note
n5_07985,N5,動物,どうぶつ,OK,animal,Animals are scared of fire.,动物害怕火。,動物は火を恐れる。,,,,noun (common) (futsuumeishi),animal,direct_image,84,single_object_or_place,animal,animal,動物,animal,concrete noun domain: animal,Tanos JLPT vocabulary,,,,
n5_08203,N5,犬,いぬ,OK,dog,Are you scared of dogs?,你怕狗吗？,犬が怖いの？,,,,noun (common) (futsuumeishi),dog (Canis (lupus) familiaris) | canine | squealer | rat | snitch,direct_image,84,single_object_or_place,animal,dog,犬,animal,concrete noun domain: animal,Tanos JLPT vocabulary,,,,
n5_08205,N5,猫,ねこ,OK,cat,The cat is really cute.,猫咪真可爱。,猫って可愛い。,,,,noun (common) (futsuumeishi),"cat (esp. the domestic cat, Felis catus) | feline | shamisen | geisha | wheelbarrow",direct_image,84,single_object_or_place,animal,cat,猫,animal,concrete noun domain: animal,Tanos JLPT vocabulary,,,,
n5_08357,N5,魚,さかな,OK,fish,Fish is really cheap today.,今天鱼很便宜。,今日は魚が安い。,,,,noun (common) (futsuumeishi),fish,direct_image,84,single_object_or_place,animal,fish,魚,animal,concrete noun domain: animal,Tanos JLPT vocabulary,,,,
n5_08358,N5,鳥,とり,OK,bird,The bird is in the sky.,鸟在天空中。,鳥は空にいる。,,,,noun (common) (futsuumeishi),bird | bird meat (esp. chicken meat) | fowl | poultry,direct_image,84,single_object_or_place,animal,bird,鳥,animal,concrete noun domain: animal,Tanos JLPT vocabulary,,,,
n5_07725,N5,おなか,おなか,OK,stomach,I'm hungry!,肚子饿了！,おなか空いた！,,,,noun (common) (futsuumeishi),belly | abdomen | stomach,direct_image,84,single_object_or_place,body_health,stomach,おなか,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,,,
n5_07941,N5,体,からだ,OK,body,My whole body hurts.,全身都疼。,体中が痛い。,,,,noun (common) (futsuumeishi),body | torso | trunk | build | physique,direct_image,84,single_object_or_place,body_health,body,体,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,,,
n5_07950,N5,元気,げんき,OK,"health, vitality",Cheer up,振作点。,元気出して。,,,,adjectival nouns or quasi-adjectives (keiyodoshi) | noun (common) (futsuumeishi),lively | full of spirit | energetic | vigorous | vital,direct_image,84,single_object_or_place,body_health,health,元気,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,,,
n5_08003,N5,口,くち,OK,"mouth,opening",Can I have a taste?,能给我尝一口吗？,一口くれない？,,,,noun (common) (futsuumeishi),mouth | opening | hole | gap | orifice,direct_image,84,single_object_or_place,body_health,mouth,口,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,,,
n5_08102,N5,手,て,OK,hand,Need some help?,要帮忙吗？,手伝おうか？,,,,noun (common) (futsuumeishi),hand | arm | forepaw | foreleg | handle,direct_image,84,single_object_or_place,body_health,hand,手,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,,,
