id,jlpt_level,word,reading,image_review,meaning,meaning_zh,meaning_zh_needs_review,meaning_zh_note,jmdict_pos,jmdict_glosses,image_status,image_score,image_type,visual_domain,image_query_en,image_query_ja,distractor_pool,classification_reason,source,meaning_zh_source,meaning_zh_review
n1_02249,N1,渡り鳥,わたりどり,,migratory bird;bird of passage,迁徙的鸟类,FALSE,,noun (common) (futsuumeishi),migratory bird | bird of passage,direct_image,84,single_object_or_place,animal,migratory bird,渡り鳥,animal,concrete noun domain: animal,Tanos JLPT vocabulary,,
n1_03362,N1,雛,ひな,,young bird;chick;doll,雏鸟;玩偶,FALSE,,noun (common) (futsuumeishi),young bird | chick | fledgling | greenhorn | fledgeling,direct_image,84,single_object_or_place,animal,young bird,雛,animal,concrete noun domain: animal,Tanos JLPT vocabulary,,
n1_03461,N1,鼠,ねず,,1. mouse;rat; 2. dark gray;slate color,老鼠;灰色,FALSE,,noun (common) (futsuumeishi),mouse | rat | dark gray | slate gray,direct_image,84,single_object_or_place,animal,1. mouse,鼠,animal,concrete noun domain: animal,Tanos JLPT vocabulary,,
n1_00497,N1,人体,じんたい,,human body,人体,FALSE,,noun (common) (futsuumeishi),human body,direct_image,84,single_object_or_place,body_health,human body,人体,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_00572,N1,体付き,からだつき,,body build;figure,体型,FALSE,,noun (common) (futsuumeishi),body build | figure,direct_image,84,single_object_or_place,body_health,body build,体付き,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_01256,N1,天体,てんたい,,heavenly body,天体,FALSE,,noun (common) (futsuumeishi),heavenly body | celestial body | astronomical object,direct_image,84,single_object_or_place,body_health,heavenly body,天体,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_01898,N1,新人,しんじん,,new face;newcomer,新人;新面孔,FALSE,,noun (common) (futsuumeishi),newcomer | new figure | new member | recruit | rookie,direct_image,84,single_object_or_place,body_health,new face,新人,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_02363,N1,物体,ぶったい,,body;object,物体,FALSE,,noun (common) (futsuumeishi),object | body | solid,direct_image,84,single_object_or_place,body_health,body,物体,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_02459,N1,病,やまい,,illness;disease,疾病,FALSE,,noun (common) (futsuumeishi),illness | disease | bad habit | weakness | fault,direct_image,84,single_object_or_place,body_health,illness,病,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_02758,N1,肉体,にくたい,,the body;the flesh,身体,FALSE,,noun (common) (futsuumeishi),the body | the flesh | the outer man | one's physique,direct_image,84,single_object_or_place,body_health,body,肉体,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_03125,N1,身体,からだ,,the body,身体,FALSE,,noun (common) (futsuumeishi),body | torso | trunk | build | physique,direct_image,84,single_object_or_place,body_health,body,身体,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_03384,N1,面,おも,,face,脸,FALSE,,noun (common) (futsuumeishi),face | surface | mask (esp. a noh or kyogen mask),direct_image,84,single_object_or_place,body_health,face,面,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_03395,N1,頂,いただき,,(top of) head;summit;spire,头顶,FALSE,,noun (common) (futsuumeishi),crown (of head) | summit (of mountain) | spire | easy win for one | something received,direct_image,84,single_object_or_place,body_health,head,頂,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,
n1_00195,N1,ジャンパー,ジャンパー / ジャンパ / ジャンバー,,jacket;jumper,夹克,FALSE,,noun (common) (futsuumeishi),(short) jacket | blouson | windbreaker | jumper | ski jumper,direct_image,84,single_object_or_place,clothing,jacket,ジャンパー,clothing,concrete noun domain: clothing,Tanos JLPT vocabulary,,
n1_00217,N1,ソックス,ソックス,,socks,袜子,FALSE,,noun (common) (futsuumeishi),socks,direct_image,84,single_object_or_place,clothing,socks,ソックス,clothing,concrete noun domain: clothing,Tanos JLPT vocabulary,,
n1_00311,N1,ユニフォーム,ユニフォーム / ユニホーム,,uniform,制服,FALSE,,noun (common) (futsuumeishi),uniform,direct_image,84,single_object_or_place,clothing,uniform,ユニフォーム,clothing,concrete noun domain: clothing,Tanos JLPT vocabulary,,
