id,jlpt_level,word,reading,meaning,jmdict_pos,jmdict_glosses,image_status,image_score,image_type,visual_domain,image_query_en,image_query_ja,distractor_pool,classification_reason,source
n1_00001,N1,あくどい,あくどい,1. gaudy;showy;excessive; 2. vicious,adjective (keiyoushi),gaudy | showy | garish | loud | crooked,scene_image,68,visual_state_scene,action_state,1. gaudy scene,あくどい,action_state,adjective can be shown visually,Tanos JLPT vocabulary
n1_00002,N1,あざ笑う,あざわらう,to sneer at;to ridicule,Godan verb with 'u' ending | transitive verb,to laugh at | to ridicule | to mock | to make fun of | to sneer at,scene_image,72,person_action_scene,action_state,person sneering at,あざ笑う,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary
n1_00003,N1,あっさり,あっさり / アッサリ,easily;readily;quickly,adverb (fukushi) | adverb taking the 'to' particle | noun or participle which takes the aux. verb suru,"easily | readily | quickly | flatly (refuse) | lightly (seasoned food, applied make-up, etc.)",skip,10,not_recommended,skip,easily,あっさり,,function word or bound form,Tanos JLPT vocabulary
n1_00004,N1,あべこべ,あべこべ,contrary;opposite;inverse,nouns which may take the genitive case particle 'no' | adjectival nouns or quasi-adjectives (keiyodoshi) | noun (common) (futsuumeishi),contrary | opposite | inverse | reverse | back-to-front,skip,10,not_recommended,skip,contrary,あべこべ,,function word or bound form,Tanos JLPT vocabulary
n1_00005,N1,あやふや,あやふや,uncertain;vague;ambiguous,adjectival nouns or quasi-adjectives (keiyodoshi),uncertain | indefinite | vague | ambiguous | equivocal,scene_image,68,visual_state_scene,action_state,uncertain scene,あやふや,action_state,adjective can be shown visually,Tanos JLPT vocabulary
n1_00006,N1,あら,あら / あらー,oh;ah;saw-edged perch (Niphon spinosus),interjection (kandoushi),oh! | ah! | oh no,review,45,manual_review,general,oh,あら,general,insufficient POS signal,Tanos JLPT vocabulary
n1_00007,N1,あられ,あられ,kind of cookie;cartoon character,noun (common) (futsuumeishi),"hail (esp. hailballs under 5 mm) | graupel | dicing | small cubes | roasted mochi pieces (usu. flavoured with soy sauce, etc.)",review,55,noun_needs_review,general,kind of cookie,あられ,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00008,N1,いい加減,いいかげん,moderate;right;random;not thorough;vague;irresponsible;halfhearted,adjectival nouns or quasi-adjectives (keiyodoshi) | adverb (fukushi),irresponsible | perfunctory | careless | lukewarm | half-baked,review,48,action_needs_review,person_family,person moderating,いい加減,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00009,N1,いく,いく,to come;to orgasm,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru,reverence | awe | fear,scene_image,72,person_action_scene,action_state,person coming,いく,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary
n1_00010,N1,いざ,いざ,now;come (now);well;crucial moment,adverb (fukushi) | interjection (kandoushi),now | come (now) | well,review,48,action_needs_review,person_family,person nowwing,いざ,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00011,N1,いっそ,いっそ,rather;sooner;might as well,adverb (fukushi),rather | sooner | preferably | might as well | just,review,48,action_needs_review,person_family,person ratherring,いっそ,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00012,N1,いやに,いやに,awfully;terribly,adverb (fukushi),awfully | terribly,review,48,action_needs_review,person_family,person awfullying,いやに,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00013,N1,うんざり,うんざり / ウンザリ,tedious;boring;being fed up with,adverb (fukushi) | adverb taking the 'to' particle | noun or participle which takes the aux. verb suru,tedious | boring | being fed up with,skip,10,not_recommended,skip,tedious,うんざり,,function word or bound form,Tanos JLPT vocabulary
n1_00014,N1,えい,えい / エイ,ray (fish),noun (common) (futsuumeishi),ray (any fish of superorder Batoidea),review,55,noun_needs_review,general,ray,えい,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00015,N1,おおい,おおい,hey!,adjective (keiyoushi),many | numerous | a lot | large amount of | large quantity of,scene_image,68,visual_state_scene,action_state,hey! scene,おおい,action_state,adjective can be shown visually,Tanos JLPT vocabulary
