id,word,reading,meaning,meaning_zh,meaning_zh_needs_review,meaning_zh_note,image_type,visual_domain,image_query_en,review,meaning_zh_source,meaning_zh_review
n2_03984,刺身,さしみ,sliced raw fish,生鱼片,FALSE,,single_object_or_place,animal,sliced raw fish,,,
n2_04868,競馬,けいば,horse racing,赛马,FALSE,,single_object_or_place,animal,horse racing,,,
n2_04991,薬品,やくひん,"medicine(s),chemical(s)",药品,TRUE,可能包含化学药品,single_object_or_place,body_health,medicine,,,
n2_05275,麓,ふもと,"the foot,the bottom,the base (of a mountain)",山脚,FALSE,,single_object_or_place,body_health,foot,,,
n2_04087,和服,わふく,Japanese clothes,和服,FALSE,,single_object_or_place,clothing,Japanese clothes,,,
n2_04821,着替え,きがえ,"changing clothes,change of clothes",换衣服,FALSE,,single_object_or_place,clothing,changing clothes,,,
n2_03510,おやつ,おやつ,"(1) between meal snack,afternoon refreshment",点心,FALSE,,single_object_or_place,food_drink,between meal snack,,,
n2_03828,井戸,いど,water well,水井,FALSE,,single_object_or_place,food_drink,water well,,,
n2_04099,噴水,ふんすい,water fountain,喷泉,FALSE,,single_object_or_place,food_drink,water fountain,,,
n2_04126,地下水,ちかすい,underground water,地下水,FALSE,,single_object_or_place,food_drink,underground water,,,
n2_04335,御手洗,おてあらい,font of purifying water placed at entrance of shrine,御手洗,TRUE,可能指神社入口净化水装置，但JMdict注释为厕所相关，需确认常用学习者含义,single_object_or_place,food_drink,font of purifying water placed at entrance of shrine,,,
n2_04541,果実,かじつ,"fruit,nut,berry.",水果,FALSE,from existing zh_meanings.py,single_object_or_place,food_drink,fruit,,,
n2_04597,水滴,すいてき,drop of water,水滴,FALSE,,single_object_or_place,food_drink,drop of water,,,
n2_04601,水蒸気,すいじょうき,"water vapour,steam",水蒸气,FALSE,,single_object_or_place,food_drink,water vapour,,,
n2_04766,田植え,たうえ,rice planting,插秧,FALSE,,single_object_or_place,food_drink,rice planting,,,
n2_04972,茶碗,ちゃわん,"rice bowl,tea cup,teacup",饭碗,FALSE,from existing zh_meanings.py,single_object_or_place,food_drink,rice bowl,,,
n2_05261,餅,もち,sticky rice cake,米糕,FALSE,,single_object_or_place,food_drink,sticky rice cake,,,
n2_03782,三日月,みかづき,"new moon,crescent moon",三日月,TRUE,中文中更常用'月牙'表示新月，但此处需根据日语原词翻译,single_object_or_place,nature_weather,new moon,,,
n2_03804,並木,なみき,"roadside tree,row of trees",行道树；树列,FALSE,,single_object_or_place,nature_weather,roadside tree,,,
n2_04080,吹雪,ふぶき,snow storm,暴风雪,FALSE,,single_object_or_place,nature_weather,snow storm,,,
n2_04164,夕日,ゆうひ,"(in) the evening sun,setting sun",夕阳,FALSE,,single_object_or_place,nature_weather,evening sun,,,
n2_04178,大木,たいぼく,large tree,大树,FALSE,,single_object_or_place,nature_weather,large tree,,,
n2_04259,山林,さんりん,"mountain forest,mountains and forest",山林；山地森林；林区,FALSE,,single_object_or_place,nature_weather,mountain forest,,,
n2_04491,日当たり,ひあたり,"exposure to the sun,sunny place",向阳地；阳光充足处,FALSE,,single_object_or_place,nature_weather,exposure to the sun,,,
n2_04626,海水浴,かいすいよく,"sea bathing,seawater bath",海水浴；海浴,FALSE,,single_object_or_place,nature_weather,sea bathing,,,
n2_04627,海洋,かいよう,ocean,海洋；大海,FALSE,,single_object_or_place,nature_weather,ocean,,,
n2_04755,生け花,いけばな,(1) flower arrangement,花艺,FALSE,,single_object_or_place,nature_weather,flower arrangement,,,
n2_03747,ミシン,ミシン,sewing machine,缝纫机,FALSE,,single_object_or_place,object_tool,sewing machine,,,
n2_03887,便箋,びんせん,"writing paper,stationery",便笺,FALSE,,single_object_or_place,object_tool,writing paper,,,
n2_03937,内線,ないせん,"phone extension,indoor wiring,inner line",分机,FALSE,,single_object_or_place,object_tool,phone extension,,,
