id,word,reading,meaning,meaningZh,current_review,folder_review,changed
n3_05705,兎,うさぎ,"rabbit,hare,cony",兔子,OK,OK,no
n3_06732,虎,とら,tiger,老虎,OK,OK,no
n3_07054,馬,うま,"(1) horse,(2) promoted bishop (shogi)",马,OK,OK,no
n3_07067,魚,うお,fish,鱼,NO,OK,yes
n3_07070,鼠,ねずみ,"(1) mouse,rat,(2) dark gray,slate color",老鼠、深灰色,NO,OK,yes
n3_05315,お腹,おなか,stomach,肚子、胃,NO,OK,yes
n3_05355,そっと,そっと / そうっと / そおっと,face of the earth,地面、地表,NO,OK,yes
n3_05533,一方,いっぽう,"(1) on the other hand,(2) meanwhile,(3) only,simple,in turn",另一方面、同时、只,NO PICTURE,NO PICTURE,no
n3_05686,健康,けんこう,"health,sound,wholesome",健康,NO PICTURE,NO PICTURE,no
n3_06180,手品,てじな,"sleight of hand,conjuring trick,magic,juggling",魔术、戏法,NO PICTURE,NO PICTURE,no
n3_06626,笑顔,えがお,smiling face,笑脸,NO PICTURE,NO PICTURE,no
n3_06698,胃,い,stomach,肚子、胃,NO PICTURE,NO PICTURE,no
n3_06877,身,み,"body,main part,oneself,sword",身体,NO PICTURE,NO PICTURE,no
n3_06878,身体,しんたい,the body,身体,NO PICTURE,NO PICTURE,no
n3_07016,面,めん,"face,mug,surface,facial features,mask,face guard,side or facet,corner,page",脸、表面、面具、页面,NO PICTURE,NO PICTURE,no
n3_05484,ドレス,ドレス,dress,连衣裙、礼服,NO,OK,yes
n3_05505,ベルト,ベルト,Belt for western clothes,皮带、腰带,NO,OK,yes
n3_06740,衣服,いふく,clothes,衣服,NO PICTURE,NO PICTURE,no
n3_05725,円,えん,"circle,money",钱,NO PICTURE,NO PICTURE,no
n3_06564,真っ赤,まっか,"deep red,flushed (of face)",深红、通红,NO PICTURE,NO PICTURE,no
n3_05464,スープ,スープ,(Western) soup,汤、西式汤,OK,OK,no
n3_05498,ビール,ばくしゅ / ビール,beer,啤酒,NO,OK,yes
n3_05517,ミルク,ミルク,milk,牛奶,NO,OK,yes
n3_05527,ワイン,ワイン,wine,葡萄酒、红酒,NO,OK,yes
n3_06393,水準,すいじゅん,"(1) water level,(2) level,standard",水准、水平、标准,NO PICTURE,NO PICTURE,no
n3_06516,生物,せいぶつ,raw food,生物、生食,NO PICTURE,NO PICTURE,no
n3_06520,田,た,rice field,稻田,NO,OK,yes
n3_06728,茶,ちゃ,tea,茶,NO PICTURE,NO PICTURE,no
n3_07040,食事,しょくじ,meal,饭、用餐,NO PICTURE,NO PICTURE,no
n3_07043,食料,しょくりょう,food,食物,NO PICTURE,NO PICTURE,no
n3_07045,食物,しょくもつ,"food,foodstuff",食物,NO PICTURE,NO PICTURE,no
n3_05462,スター,スター / スタア,star,星星,NO,NO PICTURE,yes
n3_05949,天候,てんこう,weather,天气,NO,NO PICTURE,yes
n3_05951,太陽,たいよう,"sun,solar",太阳,NO,OK,yes
n3_06267,日,にち,"sun,sunshine,day",太阳、日子,NO PICTURE,NO PICTURE,no
n3_06306,月,つき,"moon,month",月亮,OK,OK,no
n3_06329,松,まつ,"(1) pine tree,(2) highest (of a three-tier ranking system)",松树、最高级,OK,OK,no
n3_06404,沖,おき,open sea,近海、海上,NO PICTURE,NO PICTURE,no
n3_06427,消防,しょうぼう,"fire fighting,fire department",消防、消防部门,NO PICTURE,NO PICTURE,no
n3_05442,グラス,グラス,"(1) glass,(2) grass",玻璃杯、草,NO,OK,yes
n3_05448,コンピューター,コンピュータ / コンピューター,computer,电脑、计算机,NO,OK,yes
n3_05490,バッグ,バッグ / バック,"bag,bug",包、袋子,NO,NO PICTURE,yes
n3_06087,弁当,べんとう,box lunch,便当,NO,OK,yes
n3_06244,教科書,きょうかしょ,text book,教科书,OK,OK,no
n3_06254,文字,もじ,"letter (of alphabet),character",文字、字符,NO PICTURE,NO PICTURE,no
n3_06342,椅子,いす,chair,椅子,NO,OK,yes
n3_06358,機械,きかい,"machine,mechanism",机器、机械,NO,OK,yes
n3_06633,答案,とうあん,"examination paper,examination script",答卷、试卷,NO PICTURE,NO PICTURE,no
n3_06741,表,ひょう,"table (e.g. Tab 1),chart,list",表格、图表、列表,NO PICTURE,NO PICTURE,no
n3_06746,袋,ふくろ,"bag,sack",袋子、麻袋,NO PICTURE,NO PICTURE,no
n3_06968,金額,きんがく,amount of money,金额,NO PICTURE,NO PICTURE,no
n3_06977,鍵,かぎ,key,钥匙,NO PICTURE,NO PICTURE,no
n3_05306,おじいさん,おじいさん,"grandfather,male senior-citizen",祖父、爷爷,OK,OK,no
n3_05509,ボーイ,ボーイ,boy,男孩,NO,NO PICTURE,yes
n3_05606,人込み,ひとごみ,crowd of people,人群,NO,OK,yes
n3_05616,他人,たにん,"another person,unrelated person,outsider,stranger",他人、陌生人,NO PICTURE,NO PICTURE,no
n3_05793,医師,いし,"doctor,physician",医生,NO,OK,yes
n3_05816,友,とも,"friend,companion,pal",朋友,NO PICTURE,NO PICTURE,no
n3_05817,友人,ゆうじん,friend,朋友,NO PICTURE,NO PICTURE,no
n3_05941,大家,おおや,"rich family,distinguished family",富裕人家、名门,NO PICTURE,NO PICTURE,no
n3_05963,女子,じょし,"woman,girl",女孩,OK,OK,no
n3_05973,婦人,ふじん,"woman,female",女性、妇人,NO PICTURE,NO PICTURE,no
n3_06242,教師,きょうし,teacher (classroom),教师、老师,NO,OK,yes
n3_06321,本人,ほんにん,the person himself,本人,NO PICTURE,NO PICTURE,no
n3_06382,母親,ははおや,mother,母亲、妈妈,NO PICTURE,NO PICTURE,no
n3_06471,父親,ちちおや,father,父亲、爸爸,NO PICTURE,NO PICTURE,no
n3_06523,男の人,おとこのひと,man,男人,NO PICTURE,NO PICTURE,no
n3_06684,美人,びじん,beautiful person (woman),美人、美女,NO PICTURE,NO PICTURE,no
n3_06692,者,もの,person,人、人物,NO PICTURE,NO PICTURE,no
n3_06772,親友,しんゆう,"close friend,buddy",好友、亲友,NO PICTURE,NO PICTURE,no
n3_06899,迷子,まいご,lost (stray) child,迷路的孩子,NO PICTURE,NO PICTURE,no
n3_06964,金持ち,かねもち,rich man,有钱人,NO PICTURE,NO PICTURE,no
n3_05432,オフィス,オフィス / オフイス,office,办公室、事务所,NO,NO PICTURE,yes
n3_05530,一家,いっか,"a house,a home,a family,a household",一家、家庭,NO,NO PICTURE,yes
n3_05573,中学,ちゅうがく,"middle school,junior high school",中学、初中,NO PICTURE,NO PICTURE,no
n3_05640,位置,いち,"place,situation,position,location",位置、地点,NO PICTURE,NO PICTURE,no
n3_05708,入学,にゅうがく,"entry to school or university,matriculation",入学,NO PICTURE,NO PICTURE,no
n3_05911,場,ば,"place,field (physics)",场所、场,NO PICTURE,NO PICTURE,no
n3_05924,外,ほか,"other place,the rest",外面、其他地方、其余,NO PICTURE,NO PICTURE,no
n3_06037,居間,いま,living room (western style),客厅,OK,OK,no
n3_06042,岸,きし,"bank,coast,shore",银行,NO PICTURE,NO PICTURE,no
n3_06047,工場,こうば,"factory,plant,mill,workshop",工厂,NO PICTURE,NO PICTURE,no
n3_06227,支店,してん,branch store (office),分店、支店,NO PICTURE,NO PICTURE,no
n3_06912,通学,つうがく,commuting to school,上学、通学,NO PICTURE,NO PICTURE,no
n3_06933,道路,どうろ,"road,highway",道路、公路,NO PICTURE,NO PICTURE,no
n3_05434,カー,カー,car,汽车,OK,OK,no
n3_05685,停留所,ていりゅうじょ,bus or tram stop,公交站、电车站,OK,OK,no
n3_05750,列車,れっしゃ,train (ordinary),列车、火车,OK,OK,no
n3_06543,発車,はっしゃ,departure of a vehicle,发车,NO PICTURE,NO PICTURE,no
n3_06718,船,ふね,"ship,boat,watercraft,shipping,vessel,steamship",船,OK,OK,no
n3_05385,どう,（接。副）,"child,servant,foolishness",孩子、仆人、愚蠢,NO PICTURE,NO PICTURE,no
n3_05314,お目に掛かる,おめにかかる,to meet (someone of higher status) | to be recognized (esp. by someone of higher status) | to be visible,拜见、被看见,OK,OK,no
n3_05339,しまう,（終わる）,"to finish,to close,to do something completely",完成、结束、做完,NO PICTURE,NO PICTURE,no
n3_05482,ドライブ,ドライブ,"drive,trip by car,driving",开车、兜风、驾驶,NO,NO PICTURE,yes
n3_05549,下さる,くださる,"(hon) to give,to confer",给、赐予,NO PICTURE,NO PICTURE,no
n3_05550,下す,おろす,"to lower,to let go down",降下、放下,NO PICTURE,NO PICTURE,no
n3_05563,与える,あたえる,"to give,to present,to award",给,NO PICTURE,NO PICTURE,no
n3_05583,乗せる,のせる,"to place on (something),to take on board,to give a ride",放上、载上,NO PICTURE,NO PICTURE,no
n3_05636,伸びる,のびる,"to stretch,to extend,to make progress,to grow (beard, body height)",前进、进展,NO PICTURE,NO PICTURE,no
n3_05637,伺う,うかがう,"(hon) to visit,to ask,to inquire",问,NO PICTURE,NO PICTURE,no
n3_05679,倒す,たおす,"to throw down,to beat,to bring down,to blow down",打倒、推倒,NO PICTURE,NO PICTURE,no
n3_05733,出会う,であう,"to meet by chance,to come across,to happen to encounter",偶遇、碰见,NO PICTURE,NO PICTURE,no
n3_05746,切れる,きれる,"(1) to cut well,to be sharp,(2) to break (off)",锋利、断开,NO PICTURE,NO PICTURE,no
n3_05747,刈る,かる,"to cut (hair),to mow (grass),to harvest",剪、割、收割,NO PICTURE,NO PICTURE,no
n3_05763,割る,わる,"to divide,to cut,to break,to halve",切,NO PICTURE,NO PICTURE,no
n3_05769,劣る,おとる,"to fall behind,to be inferior to",逊色、落后,NO PICTURE,NO PICTURE,no
n3_05774,効く,きく,to be effective,有效、起作用,NO PICTURE,NO PICTURE,no
n3_05805,占める,しめる,"(1) to comprise,to account for,to make up (of),(2) to hold,to occupy",占、构成、占据,NO PICTURE,NO PICTURE,no
n3_05811,去る,さる,"to leave,to go away",离开、走开,NO PICTURE,NO PICTURE,no
n3_05815,及ぼす,およぼす,"to exert,to cause,to exercise",施加影响、造成,NO PICTURE,NO PICTURE,no
n3_05821,収める,おさめる,"to obtain,to reap,to pay,to supply,to accept",获得、收纳、支付,NO PICTURE,NO PICTURE,no
n3_05824,取り上げる,とりあげる,"to take up,to pick up,to disqualify,to confiscate,to deprive",拿起、采纳、没收,NO PICTURE,NO PICTURE,no
n3_05825,取れる,とれる,"to come off,to be taken off,to be removed",脱落、取下,NO PICTURE,NO PICTURE,no
n3_05826,受け取る,うけとる,"to receive,to get,to accept,to take",接收、领取、接受,NO PICTURE,NO PICTURE,no
n3_05844,吐く,はく,"(1) to breathe,(2) to tell (lies),(3) to vomit,to disgorge",呼吸、说谎、呕吐,NO PICTURE,NO PICTURE,no
n3_05846,向く,むく,to face,面对、朝向,NO PICTURE,NO PICTURE,no
n3_05847,向ける,むける,"to turn towards,to point",朝向、指向,NO PICTURE,NO PICTURE,no
n3_05851,含む,ふくむ,"to hold in the mouth,to bear in mind",含在口中、包含,NO PICTURE,NO PICTURE,no
n3_05879,回す,まわす,"to turn,to revolve",转动、旋转,NO PICTURE,NO PICTURE,no
